step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    4.4s
step  1630000 | reward(last100)  0.3791 | sigma 0.0241 | elapsed 5882.3s
step  1635000 | reward(last100)  0.4486 | sigma 0.0241 | elapsed 5904.1s
step  1640000 | reward(last100)  0.4743 | sigma 0.0241 | elapsed 5922.3s
step  1645000 | reward(last100)  0.3538 | sigma 0.0241 | elapsed 5940.4s
step  1650000 | reward(last100)  0.3937 | sigma 0.0241 | elapsed 5958.4s
step  1655000 | reward(last100)  0.3659 | sigma 0.0241 | elapsed 5980.6s
step  1660000 | reward(last100)  0.4545 | sigma 0.0241 | elapsed 6003.1s
step  1665000 | reward(last100)  0.3958 | sigma 0.0241 | elapsed 6025.4s
step  1670000 | reward(last100)  0.4310 | sigma 0.0241 | elapsed 6043.3s
step  1675000 | reward(last100)  0.4888 | sigma 0.0241 | elapsed 6061.4s
step  1680000 | reward(last100)  0.3300 | sigma 0.0241 | elapsed 6080.0s
step  1685000 | reward(last100)  0.4245 | sigma 0.0240 | elapsed 6098.7s
step  1690000 | reward(last100)  0.3591 | sigma 0.0241 | elapsed 6117.3s
step  1695000 | reward(last100)  0.3823 | sigma 0.0240 | elapsed 6135.0s
step  1700000 | reward(last100)  0.3914 | sigma 0.0241 | elapsed 6151.3s
step  1705000 | reward(last100)  0.3021 | sigma 0.0241 | elapsed 6168.1s
step  1710000 | reward(last100)  0.4173 | sigma 0.0240 | elapsed 6184.5s
step  1715000 | reward(last100)  0.4799 | sigma 0.0241 | elapsed 6200.9s
