step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    5.6s
step  1470000 | reward(last100)  0.2982 | sigma 0.0225 | elapsed 5270.5s
step  1475000 | reward(last100)  0.2926 | sigma 0.0225 | elapsed 5287.0s
step  1480000 | reward(last100)  0.3045 | sigma 0.0225 | elapsed 5302.7s
step  1485000 | reward(last100)  0.3595 | sigma 0.0225 | elapsed 5318.4s
step  1490000 | reward(last100)  0.3088 | sigma 0.0225 | elapsed 5334.1s
step  1495000 | reward(last100)  0.3283 | sigma 0.0225 | elapsed 5349.7s
step  1500000 | reward(last100)  0.3378 | sigma 0.0225 | elapsed 5366.6s
step  1505000 | reward(last100)  0.3205 | sigma 0.0224 | elapsed 5382.9s
step  1510000 | reward(last100)  0.2803 | sigma 0.0224 | elapsed 5398.8s
step  1515000 | reward(last100)  0.2828 | sigma 0.0224 | elapsed 5414.6s
step  1520000 | reward(last100)  0.2697 | sigma 0.0224 | elapsed 5430.4s
step  1525000 | reward(last100)  0.2366 | sigma 0.0224 | elapsed 5446.1s
step  1530000 | reward(last100)  0.2501 | sigma 0.0224 | elapsed 5461.9s
step  1535000 | reward(last100)  0.2439 | sigma 0.0224 | elapsed 5477.7s
step  1540000 | reward(last100)  0.2521 | sigma 0.0224 | elapsed 5493.6s
step  1545000 | reward(last100)  0.2183 | sigma 0.0224 | elapsed 5511.0s
step  1550000 | reward(last100)  0.1972 | sigma 0.0224 | elapsed 5528.1s
step  1555000 | reward(last100)  0.2482 | sigma 0.0224 | elapsed 5544.8s
step  1560000 | reward(last100)  0.2482 | sigma 0.0224 | elapsed 5561.6s
step  1565000 | reward(last100)  0.2454 | sigma 0.0223 | elapsed 5578.7s
step  1570000 | reward(last100)  0.2120 | sigma 0.0223 | elapsed 5595.7s
step  1575000 | reward(last100)  0.1874 | sigma 0.0223 | elapsed 5611.6s
step  1580000 | reward(last100)  0.1774 | sigma 0.0223 | elapsed 5627.5s
step  1585000 | reward(last100)  0.1321 | sigma 0.0223 | elapsed 5644.9s
step  1590000 | reward(last100)  0.0884 | sigma 0.0223 | elapsed 5662.4s
step  1595000 | reward(last100)  0.0780 | sigma 0.0222 | elapsed 5679.5s
step  1600000 | reward(last100)  0.0512 | sigma 0.0222 | elapsed 5695.1s
step  1605000 | reward(last100)  0.0494 | sigma 0.0222 | elapsed 5711.1s
step  1610000 | reward(last100)  0.0767 | sigma 0.0222 | elapsed 5726.7s
step  1615000 | reward(last100)  0.0707 | sigma 0.0222 | elapsed 5742.3s
step  1620000 | reward(last100)  0.0734 | sigma 0.0222 | elapsed 5758.0s
step  1625000 | reward(last100)  0.0740 | sigma 0.0222 | elapsed 5773.7s
step  1630000 | reward(last100)  0.0939 | sigma 0.0222 | elapsed 5789.3s
step  1635000 | reward(last100)  0.0995 | sigma 0.0222 | elapsed 5805.0s
step  1640000 | reward(last100)  0.0946 | sigma 0.0222 | elapsed 5820.7s
step  1645000 | reward(last100)  0.0673 | sigma 0.0222 | elapsed 5836.5s
step  1650000 | reward(last100)  0.0673 | sigma 0.0222 | elapsed 5855.2s
step  1655000 | reward(last100)  0.0815 | sigma 0.0222 | elapsed 5872.4s
step  1660000 | reward(last100)  0.0684 | sigma 0.0222 | elapsed 5888.1s
step  1665000 | reward(last100)  0.0489 | sigma 0.0222 | elapsed 5903.9s
step  1670000 | reward(last100)  0.0512 | sigma 0.0222 | elapsed 5919.7s
step  1675000 | reward(last100)  0.0598 | sigma 0.0222 | elapsed 5935.4s
step  1680000 | reward(last100)  0.0694 | sigma 0.0222 | elapsed 5951.0s
step  1685000 | reward(last100)  0.0598 | sigma 0.0222 | elapsed 5967.9s
step  1690000 | reward(last100)  0.0429 | sigma 0.0222 | elapsed 5984.4s
step  1695000 | reward(last100)  0.0525 | sigma 0.0221 | elapsed 6000.2s
step  1700000 | reward(last100)  0.0587 | sigma 0.0222 | elapsed 6016.0s
step  1705000 | reward(last100)  0.0530 | sigma 0.0222 | elapsed 6032.2s
step  1710000 | reward(last100)  0.0630 | sigma 0.0222 | elapsed 6052.8s
step  1715000 | reward(last100)  0.0976 | sigma 0.0222 | elapsed 6074.4s
